batch;code;strength;size;start;api_code;api_batch;smcc_batch;lactose_batch;starch_batch;api_water;api_total_impurities;api_l_impurity;api_content;api_ps01;api_ps05;api_ps09;lactose_water;lactose_sieve0045;lactose_sieve015;lactose_sieve025;smcc_water;smcc_td;smcc_bd;smcc_ps01;smcc_ps05;smcc_ps09;starch_ph;starch_water;tbl_min_thickness;tbl_max_thickness;fct_min_thickness;fct_max_thickness;tbl_min_weight;tbl_max_weight;tbl_rsd_weight;fct_rsd_weight;tbl_min_hardness;tbl_max_hardness;tbl_av_hardness;fct_min_hardness;fct_max_hardness;fct_av_hardness;tbl_max_diameter;fct_max_diameter;tbl_tensile;fct_tensile;tbl_yield;batch_yield;dissolution_av;dissolution_min;resodual_solvent;impurities_total;impurity_o;impurity_l
1;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.92;0.72;56.84;68.6;46;37;56;62.72;6.1;6.1;1.412698315;1.926183442;95.785;94.697;93.83;86;0.06;0.33;0.05;0.16
2;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.89;0.8;56.84;70.56;46;39;56;64.68;6.1;6.1;1.412698315;1.986376675;98.467;97.348;99.67;92;0.04;0.34;0.06;0.16
3;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;115;0.83;0.78;58.8;70.56;46;39;57;65.66;6.1;6.1;1.412698315;2.016473291;98.496;99.242;97.33;92;0.03;0.28;0.05;0.16
4;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;110;117;0.53;0.88;58.8;72.52;48;57;40;63.7;6.1;6.1;1.474119981;1.956280058;97.736;98.106;94.5;89;0.03;0.3;0.05;0.18
5;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;115;0.75;0.69;56.84;68.6;47;39;59;62.72;6.1;6.1;1.443409148;1.926183442;98.106;98.106;92;88;0.04;0.31;0.05;0.18
6;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.57;0.72;58.8;70.56;49;43;55;65.66;6.1;6.1;1.504830814;2.016473291;98.099;97.727;97.67;94;0.07;0.33;0.05;0.2
7;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;115;0.55;0.69;61.74;75.46;47;40;54;67.62;6.1;6.1;1.443409148;2.076666523;98.864;98.864;95.17;88;0.07;0.32;0.05;0.19
8;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.68;0.8;62.72;82.32;47;39;57;68.6;6.1;6.1;1.443409148;2.10676314;98.868;99.242;96.5;90;0.07;0.32;0.05;0.19
9;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.3;3.4;111;115;0.93;0.86;62.72;74.48;50;39;59;66.64;6.1;6.1;1.535541647;2.046569907;96.591;96.591;95;91;0.04;0.36;0.05;0.18
10;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.3;3.4;110;116;0.87;1.01;58.8;74.48;47;41;57;67.62;6.1;6.1;1.443409148;2.076666523;98.496;99.242;92.17;89;0.08;0.32;0.05;0.19
11;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;110;114;0.76;0.78;56.84;64.68;44;39;52;60.76;6.1;6;1.351276649;1.897090046;98.479;98.106;95;91;0.05;0.36;0.05;0.18
12;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.59;0.76;60.76;72.52;46;38;54;67.62;6.1;6;1.412698315;2.111277632;96.226;96.591;100.33;98;0.06;0.31;0.05;0.19
13;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.58;0.91;59.78;68.6;44;38;52;65.66;6.1;6.1;1.351276649;2.016473291;98.864;98.864;94.5;92;0.06;0.37;0.05;0.19
14;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;115;0.8;0.74;63.7;76.44;50;43;58;69.58;6.1;6.1;1.535541647;2.136859756;100;100;100;97;0.03;0.31;0.05;0.19
15;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.83;0.97;56.84;68.6;43;36;52;62.72;6.1;6.1;1.320565816;1.926183442;96.97;96.97;93.67;90;0.04;0.3;0.05;0.18
16;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.2;3.4;3.3;3.4;110;115;1.14;0.94;58.8;82.32;54;39;82;68.6;6.1;6.1;1.658384979;2.10676314;98.672;98.485;94.83;92;0.05;0.05;0.05;0.05
17;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.2;3.5;3.4;3.5;110;114;1.02;0.8;58.8;72.52;54;37;78;67.62;6;6.1;1.637852593;2.017333194;99.148;99.195;90;86;0.05;0.05;0.05;0.05
18;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.5;3.5;111;114;1.04;0.64;56.84;72.52;48;37;65;63.7;6;6.1;1.498688647;1.900386342;99.243;99.337;91.83;89;0.05;0.05;0.05;0.05
19;3;20M;960000;nov.18;1;4;2;2;1;1.68;0.05;0.05;94.5;1.76;31.55;136.534;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.9;4;4;4.1;218;228;0.95;1.14;61.74;77.42;59;41;73;70.56;8.3;8.1;1.1319162;1.353287418;99.053;99.1;89.67;84;0.05;0.05;0.05;0.05
20;3;20M;960000;nov.18;1;4;2;2;1;1.68;0.05;0.05;94.5;1.76;31.55;136.534;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;4;4;4.1;4.1;218;229;1.1;1.24;58.8;78.4;50;38;62;66.64;8.1;8.1;0.982936227;1.278104784;99.337;99.337;87.5;84;0.05;0.05;0.05;0.05
21;3;20M;960000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;4;4.1;4.1;4.1;220;228;1.14;1.01;60.76;76.44;55;40;66;70.56;8;8.1;1.06804412;1.353287418;99.336;99.242;91;84;0.05;0.05;0.05;0.05
22;4;40M;583000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.4;5.4;5.5;444;461;0.98;1.05;88.2;121.52;91;55;115;109.76;10;10.1;1.07336636;1.258520757;97.973;98.004;86.5;84;0.16;0.08;0.05;0.08
23;4;40M;583000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.3;5.5;5.5;448;461;1.13;0.87;94.08;119.56;91;70;120;105.84;10;10.2;1.093618555;1.201675806;98.009;97.848;84.67;81;0.19;0.08;0.05;0.08
24;4;40M;583000;nov.18;1;6;2;2;1;2.38;0.05;0.05;93.9;1.78;35.1;155.803;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.1;5.2;5.4;5.5;445;456;0.99;0.68;103.88;117.6;94;71;113;111.72;10.1;10.2;1.13999641;1.268435573;99.102;98.979;89.67;88;0.2;0.08;0.05;0.08
25;4;40M;583000;nov.18;1;7;2;2;1;1.81;0.05;0.05;94.4;1.82;33.76;140.346;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.3;5.4;5.5;443;459;1.31;0.9;96.04;123.48;96;78;127;109.76;10;10.2;1.153707487;1.246182318;98.05;98.004;89.67;84;0.2;0.07;0.05;0.07
