batch;code;tbl_speed_mean;tbl_speed_change;tbl_speed_0_duration;total_waste;startup_waste;weekend;fom_mean;fom_change;SREL_startup_mean;SREL_production_mean;SREL_production_max;main_CompForce mean;main_CompForce_sd;main_CompForce_median;pre_CompForce_mean;tbl_fill_mean;tbl_fill_sd;cyl_height_mean;stiffness_mean;stiffness_max;stiffness_min;ejection_mean;ejection_max;ejection_min;Startup_tbl_fill_maxDifference;Startup_main_CompForce_mean;Startup_tbl_fill_mean;Drug release average (%);Drug release min (%);Residual solvent;Total impurities;Impurity O;Impurity L
1;25;99.86465621;5.416666667;149.5833333;2125.416667;5085;no;49.96144578;12;4.392;3.559875776;7.1;4.255403727;0.058473468;4.3;0.1;5.332248447;0.095937572;2.099465839;91.01614907;103;67;223.3192547;248;196;0.38;4.5875;5.466666667;93.83;86;0.06;0.33;0.05;0.16
2;25;99.93634204;2.5;128.3333333;887.5;2115;no;49.96204033;5;9.258333333;3.494945848;8.8;4.251022864;0.056787817;4.2;0.099277978;5.299530686;0.099699047;2.105270758;88.22382671;103;77;215.9638989;252;194;0.18;4.390909091;5.315454545;99.67;92;0.04;0.34;0.06;0.16
3;25;99.98598351;2.5;83.33333333;796.25;1895;no;49.96117647;6;7.2;3.392133492;8.7;4.261263409;0.054521796;4.3;0.00476758;5.311096544;0.107813987;2.113003576;88.96781883;111;72;212.5303933;248;184;0.12;4.43;5.242;97.33;92;0.03;0.28;0.05;0.16
4;25;99.97686833;2.916666667;76.25;695.8333333;1645;no;49.96090047;9;7.122222222;3.416047904;9;4.35760479;0.062704912;4.4;0;5.309988024;0.115553614;2.104526946;101.4311377;121;83;225.9389222;262;197;0.24;4.5;5.22125;94.5;89;0.03;0.3;0.05;0.18
5;25;99.96828402;2.5;121.25;829.1666667;1971;no;50;5;14.45;3.460359281;9.8;4.249461078;0.056974662;4.2;0;5.319628743;0.103193521;2.126347305;108.9784431;132;91;237.3053892;264;205;0.19;3.96;5.233;92;88;0.04;0.31;0.05;0.18
6;25;99.97676647;2.5;97.91666667;780.8333333;1853;no;49.9223417;7;8.458333333;3.405454545;9.2;4.456;0.061264982;4.5;0;5.358581818;0.107666335;2.12;108.4739394;130;87;235.270303;264;206;0.23;4.53;5.3;97.67;94;0.07;0.33;0.05;0.2
7;25;99.94490521;3.333333333;105;403.3333333;947;no;49.96094675;6;11.7125;3.360692951;8.6;4.254719235;0.057602198;4.3;0;5.344014337;0.10639207;2.14;104.4492234;126;84;221.5567503;249;186;0.3;4.4;5.304285714;95.17;88;0.07;0.32;0.05;0.19
8;25;100;2.916666667;120.8333333;405.4166667;928;no;49.96226415;6;2.9;3.330595238;9.4;4.251785714;0.059169072;4.3;0;5.331321429;0.105822356;2.14;101.1511905;121;85;219.4904762;244;187;0.24;4.214285714;5.321428571;96.5;90;0.07;0.32;0.05;0.19
9;25;99.90986763;3.333333333;122.5;777.5;1832;no;49.96153846;8;7.73;3.428467153;9.5;4.360705596;0.057142585;4.4;0;5.336970803;0.070328595;2.12406326;100.3272506;120;80;219.7749392;246;192;0.21;4.322222222;5.264444444;95;91;0.04;0.36;0.05;0.18
10;25;99.82497096;5.416666667;122.0833333;962.5;2245;no;49.96287703;7;14.92142857;3.389504717;10.1;4.152948113;0.059440819;4.2;0;5.303408019;0.12017525;2.137441038;104.5448113;134;86;216.0247642;252;189;0.18;3.792307692;5.209230769;92.17;89;0.08;0.32;0.05;0.19
11;25;100;2.916666667;109.1666667;1490;3545;no;49.9623086;7;6.052941176;3.449759615;9.1;3.759375;0.053142804;3.8;0;5.28421875;0.122344192;2.187223558;103.8870192;131;81;209.0793269;235;180;0.19;4.0125;5.228125;95;91;0.05;0.36;0.05;0.18
12;25;100;2.083333333;106.25;985;2356;no;49.96139928;5;7.792307692;3.329656863;6.2;3.766911765;0.052033704;3.8;0;5.253933824;0.041651084;2.189656863;99.22426471;121;82;200.5968137;226;174;0.15;3.866666667;5.210833333;100.33;98;0.06;0.31;0.05;0.19
13;25;100.0138012;2.916666667;141.25;873.75;2063;no;49.96261682;6;3.246153846;3.309964413;9.6;3.66737841;0.050093811;3.7;0;5.215088968;0.060750144;2.18;97.97271649;126;76;191.1221827;235;163;0.12;3.675;5.195;94.5;92;0.06;0.37;0.05;0.19
14;25;99.99017544;2.916666667;110.4166667;559.5833333;1327;no;49.9614486;8;11.6625;3.316037736;10.3;4.054363208;0.054370457;4.1;0;5.28625;0.097021006;2.151084906;109.0400943;134;81;214.7087264;240;187;0.33;4.042857143;5.281428571;100;97;0.03;0.31;0.05;0.19
15;25;100;2.083333333;122.5;891.25;2105;no;49.96071429;7;6.636363636;3.351025332;10;3.665138721;0.051809166;3.7;0;5.248685163;0.081724076;2.186055489;109.3160434;138;84;210.4885404;247;176;0.16;3.52;5.226;93.67;90;0.04;0.3;0.05;0.18
16;2;119.9244988;3.125;53.07291667;622.1875;5218;no;20.0462766;20;17.82380952;5.26422851;8.2;4.026699893;0.343326991;3.8;0.000373799;6.165900676;0.093949115;1.730679957;111.1457814;214;46;190.012104;373;122;2.32;5.436842105;5.837894737;94.83;92;0.05;0.05;0.05;0.05
17;2;119.9568025;3.645833333;50.36458333;566.0416667;4008;no;19.99964714;9;4.978571429;5.794021931;8.9;3.380650867;0.299667604;3.2;0;6.198967103;0.082325745;1.822232048;101.1114255;200;39;171.0178635;272;106;0.46;4.292307692;5.984615385;90;86;0.05;0.05;0.05;0.05
18;2;119.9972012;0.520833333;22.29166667;422.03125;5480;no;19.99964801;10;5.831578947;5.834681264;9.3;3.154070281;0.061080117;3.2;0;6.130109483;0.080754492;1.85;99.1130143;167;73;162.9226558;182;143;0.4;3.4;6.167777778;91.83;89;0.05;0.05;0.05;0.05
